"site","relative","name","xmltv_id","lang","site_id","country","hd_flag","norm_name"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV VoD Logo","","en","itv-vodogo-l","UK","SD","itvvodlogo"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV West HD","","en","itv-west-hd","UK","HD","itvwesthd"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV West HD","","en","itv-west-hd-1","UK","HD","itvwesthd"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV West Country HD","","en","itv-westcountry-hd","UK","HD","itvwestcountryhd"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV Yorkshire East HD","","en","itv-yorkshire-east-hd","UK","HD","itvyorkshireeasthd"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV Yorkshire West HD","","en","itv-yorkshire-west-hd","UK","HD","itvyorkshirewesthd"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITVBe +1","","en","itvbe-1","UK","SD","itvbe1"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITVBe +1 (Freeview)","","en","itvbe-1-freeview","UK","SD","itvbe1freeview"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITVBe HD","","en","itvbe-hd","UK","HD","itvbehd"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","Jewellery Maker (Freeview)","","en","jewellery-maker-freeview","UK","SD","jewellerymakerfreeview"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","Juwelo HD","","en","juwelo-hd","UK","HD","juwelohd"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","Juwelo TV","","en","juwelo-tv","UK","SD","juwelotv"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","kabel eins","","en","kabel-eins","UK","SD","kabeleins"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","kabel eins","","en","kabel-eins-1","UK","SD","kabeleins"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","kabel eins austria","","en","kabel-eins-austria","UK","SD","kabeleinsaustria"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","Kabel eins Doku","","en","kabel-eins-doku","UK","SD","kabeleinsdoku"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","kabel eins Doku","","en","kabel-eins-doku-1","UK","SD","kabeleinsdoku"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","Kanshi TV","","en","kanshi-tv","UK","SD","kanshitv"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","Kerrang!","","en","kerrang","UK","SD","kerrang"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","Ketchup TV","","en","ketchup-tv","UK","SD","ketchuptv"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","KiKA","","en","kika","UK","SD","kika"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","KiKA HD","","en","kika-hd","UK","HD","kikahd"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","Kiss","KissTV.uk@SD","en","kiss","UK","SD","kiss"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","KMTV","","en","kmtv","UK","SD","kmtv"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","KTV","","en","ktv","UK","SD","ktv"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","La Tienda en Casa","","en","la-tienda-en-casa","UK","SD","latiendaencasa"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","LatestTV (Brighton)","","en","latesttv-brighton","UK","SD","latesttvbrighton"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","LCI HD","","en","lci-hd","UK","HD","lcihd"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","LCP HD","","en","lcp-hd","UK","HD","lcphd"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","Leeds TV","","en","leeds-tv","UK","SD","leedstv"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","LFC","","en","lfc","UK","SD","lfc"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","LFC TV HD","","en","lfc-tv-hd","UK","HD","lfctvhd"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","Liverpool Football Club TV","","en","liverpool-football-club-tv","UK","SD","liverpoolfootballclubtv"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","Liverpool TV","","en","liverpool-tv","UK","SD","liverpooltv"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","London TV","","en","londonive-l","UK","SD","londontv"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","M6 Boutique & Co HD","","en","m6-boutique-co-hd","UK","HD","m6boutiquecohd"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","Magic","","en","magic","UK","SD","magic"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","main.tv HD","","en","main-tv-hd","UK","HD","maintvhd"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","MUTV (Man Utd)","","en","manchester-united-television","UK","SD","mutvmanutd"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","Manchester United Television HD","","en","manchester-united-television-hd","UK","HD","manchesterunitedtelevisionhd"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","MATV NATIONAL","","en","matv-national","UK","SD","matvnational"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","MBC","","en","mbc","UK","SD","mbc"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","MDR Sachsen","","en","mdr-sachsen","UK","SD","mdrsachsen"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","MDR Sachsen-Anhalt","","en","mdr-sachsen-anhalt","UK","SD","mdrsachsenanhalt"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","MDR Sachsen-Anhalt HD","","en","mdr-sachsen-anhalt-hd","UK","HD","mdrsachsenanhalthd"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","MDR Sachsen HD","","en","mdr-sachsen-hd","UK","HD","mdrsachsenhd"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","MDR Thüringen","","en","mdr-thueringen","UK","SD","mdrthüringen"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","MDR Thüringen HD","","en","mdr-thueringen-hd","UK","HD","mdrthüringenhd"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","MediaShop - Neuheiten","","en","mediashop-neuheiten","UK","SD","mediashopneuheiten"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","MeinTV Shop","","en","meintv-shop","UK","SD","meintvshop"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","Melodie TV","","en","melodie-tv","UK","SD","melodietv"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","More4 +1","","en","more4-1","UK","SD","more41"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","More4 +1","","en","more4-1-1","UK","SD","more41"
